,0
1445,UNITEDTEA
1446,UNIVASTU
1447,UNIVCABLES
1448,UPL
1449,URJA
1450,USHAMART
1451,UTIBANKETF
1452,UTINEXT50
1453,UTINIFTETF
1454,UTISENSETF
1455,UTISXN50
1456,UTTAMSTL
1457,UTTAMSUGAR
1458,UVSL
1459,V2RETAIL
1460,VADILALIND
1461,VAIBHAVGBL
1462,VAISHALI
1463,VAKRANGEE
1464,VALIANTORG
1465,VARDHACRLC
1466,VARDMNPOLY
1467,VARROC
1468,VASCONEQ
1469,VASWANI
1470,VBL
1471,VEDL
1472,VENKEYS
1473,VERTOZ
1474,VESUVIUS
1475,VETO
1476,VGUARD
1477,VHL
1478,VIDHIING
1479,VIJIFIN
1480,VIKASMCORP
1481,VIKASPROP
1482,VIKASWSP
1483,VINATIORGA
1484,VINDHYATEL
1485,VINYLINDIA
1486,VIPCLOTHNG
1487,VIPIND
1488,VIPULLTD
1489,VISAKAIND
1490,VISHAL
1491,VISHWARAJ
1492,VIVIMEDLAB
1493,VLSFINANCE
1494,VMART
1495,VOLTAMP
1496,VOLTAS
1497,VRLLOG
1498,VSSL
1499,VSTIND
1500,VSTTILLERS
1501,VTL
1502,WABAG
1503,WABCOINDIA
1504,WALCHANNAG
1505,WATERBASE
1506,WEBELSOLAR
1507,WEIZMANIND
1508,WELCORP
1509,WELENT
1510,WELINV
1511,WELSPUNIND
1512,WENDT
1513,WESTLIFE
1514,WHEELS
1515,WHIRLPOOL
1516,WILLAMAGOR
1517,WINDMACHIN
1518,WIPRO
1519,WOCKPHARMA
1520,WONDERLA
1521,WORTH
1522,WSTCSTPAPR
1523,XCHANGING
1524,XPROINDIA
1525,YESBANK
1526,ZEEL
1527,ZEELEARN
1528,ZENITHEXPO
1529,ZENSARTECH
1530,ZENTEC
1531,ZODIACLOTH
1532,ZODJRDMKJ
1533,ZOTA
1534,ZUARI
1535,ZUARIGLOB
1536,ZYDUSWELL
